elapsed_time,movement_counter,adjusted_acceleration,max_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z,ball_distance_traveled,movement_time,speed
1.171,8,0.1178132279588371,0.1178132279588371,13.061523000000001,0,1,1860.0,607.0,-624.0,0.0,0.113,3.288
1.172,8,0.1178132279588371,0.1178132279588371,13.061523000000001,0,1,1860.0,607.0,-624.0,0.0,0.113,3.288
1.216,8,0.0914827570926233,0.1178132279588371,13.061523000000001,0,0,1860.0,607.0,-624.0,0.0,0.113,3.288
1.217,8,0.0914827570926233,0.1178132279588371,13.061523000000001,0,0,1860.0,607.0,-624.0,0.0,0.113,3.288
1.221,8,0.0914827570926233,0.1178132279588371,13.061523000000001,0,0,1860.0,607.0,-624.0,0.0,0.113,3.288
1.254,9,0.0914827570926233,0.1457363919087219,13.061523000000001,0,0,1833.0,623.0,-683.0,0.031,0.112,0.9964
1.261,9,-0.017185889199206217,0.1457363919087219,13.061523000000001,0,0,1833.0,623.0,-683.0,0.0,0.112,0.9964
1.262,9,-0.017185889199206217,0.1457363919087219,13.061523000000001,0,1,1833.0,623.0,-683.0,0.0,0.112,0.9964
1.306,9,-0.022964010092897308,0.1457363919087219,13.061523000000001,0,1,1833.0,623.0,-683.0,0.0,0.112,0.9964
1.307,9,-0.022964010092897308,0.1457363919087219,13.061523000000001,0,1,1833.0,623.0,-683.0,0.0,0.112,0.9964
1.308,9,-0.022964010092897308,0.1457363919087219,13.061523000000001,0,1,1833.0,623.0,-683.0,0.0,0.112,0.9964
1.329,9,-0.022964010092897308,0.1457363919087219,13.061523000000001,0,0,1786.0,688.0,-720.0,0.08,0.075,0.9964
1.332,9,-0.022964010092897308,0.1457363919087219,13.061523000000001,0,1,1786.0,688.0,-720.0,0.0,0.075,0.9964
1.351,9,-0.0607977789705626,0.1457363919087219,13.061523000000001,0,1,1786.0,688.0,-720.0,0.0,0.075,0.9964
1.352,9,-0.0607977789705626,0.1457363919087219,13.061523000000001,0,1,1786.0,688.0,-720.0,0.0,0.075,0.9964
1.396,9,0.1457363919087219,0.1457363919087219,13.061523000000001,0,1,1786.0,688.0,-720.0,0.0,0.075,0.9964
1.407,9,0.1457363919087219,0.1457363919087219,13.061523000000001,0,1,1786.0,688.0,-720.0,0.0,0.075,0.9964
1.441,10,0.0438534423530066,0.1257296005071722,13.061523000000001,0,1,1767.0,772.0,-762.0,0.086,0.112,3.1957
1.485,10,0.1257296005071722,0.1257296005071722,13.061523000000001,0,1,1767.0,772.0,-762.0,0.0,0.112,3.1957
1.486,10,0.0961209264869938,0.1257296005071722,13.061523000000001,0,1,1767.0,772.0,-762.0,0.0,0.112,3.1957
1.52,10,0.0961209264869938,0.1257296005071722,13.061523000000001,0,1,1767.0,772.0,-762.0,0.0,0.112,3.1957
1.531,10,0.0961209264869938,0.1257296005071722,13.061523000000001,0,1,1767.0,772.0,-762.0,0.0,0.112,3.1957
1.532,10,0.0961209264869938,0.1257296005071722,13.061523000000001,0,1,1767.0,772.0,-762.0,0.0,0.112,3.1957
1.533,10,-0.0002727753329518079,0.1257296005071722,13.061523000000001,0,1,1767.0,772.0,-762.0,0.0,0.112,3.1957
1.555,11,-0.0002727753329518079,0.3004877657310361,13.061523000000001,0,1,1723.0,850.0,-840.0,0.09,0.114,2.8421
1.576,11,-0.0002727753329518079,0.3004877657310361,13.061523000000001,0,1,1723.0,850.0,-840.0,0.0,0.114,2.8421
1.577,11,-0.0002727753329518079,0.3004877657310361,13.061523000000001,0,1,1723.0,850.0,-840.0,0.0,0.114,2.8421
1.578,11,0.2644118913305269,0.3004877657310361,13.061523000000001,0,1,1723.0,850.0,-840.0,0.0,0.114,2.8421
1.621,11,0.3004877657310361,0.3004877657310361,13.061523000000001,0,1,1723.0,850.0,-840.0,0.0,0.114,2.8421
1.633,11,0.3004877657310361,0.3004877657310361,13.061523000000001,0,1,1723.0,850.0,-840.0,0.0,0.114,2.8421
