network_time,device_id,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp,elapsed_time
171133206790144.0,01:05:0A0D,-0.064684032,0.026738688,-1.109000192,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015245579,0.706216186,0.808090851,0.030609661,10.809,4.327,4.903,0.0,-2.5762902e-05
171133525557248.0,01:05:0A0D,-0.064421888,0.026935296,-1.109721088,0.01245184,0.0065536,0.0131072,42.991616,-3.670016,-32.768,-0.015243447,0.706216895,0.808090476,0.030604252,10.809,4.327,4.903,0.0,0.000318767104
171133871527998.0,01:05:0A0D,-0.064421888,0.026935296,-1.109721088,0.01245184,0.0065536,0.0131072,42.991616,-3.670016,-32.768,-0.015243447,0.706216895,0.808090476,0.030604252,2.285,2.874,6.19,0.0,0.00034597075
171133894656000.0,01:05:0A0D,-0.064356352,0.026673152,-1.108934656,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015242819,0.706217517,0.808090081,0.03060062,10.804,4.324,4.896,0.0,2.3128002e-05
171134179868672.0,01:05:0A0D,-0.06455296,0.026804224,-1.10886912,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.01524247,0.706218154,0.808089683,0.030596635,10.804,4.324,4.896,0.0,0.000285212672
171134510506541.0,01:05:0A0D,-0.06455296,0.026804224,-1.10886912,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.01524247,0.706218154,0.808089683,0.030596635,2.284,2.872,6.188,0.0,0.000330637869
171134532190208.0,01:05:0A0D,-0.064684032,0.027000832,-1.108344832,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015242242,0.706218779,0.808089275,0.030593103,2.284,2.872,6.188,0.0,2.1683667e-05
171134817402880.0,01:05:0A0D,-0.064684032,0.026935296,-1.10821376,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015241984,0.706219388,0.808088861,0.030590084,2.284,2.872,6.188,0.0,0.000285212672
171135149489130.0,01:05:0A0D,-0.064684032,0.026935296,-1.10821376,0.01245184,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015241984,0.706219388,0.808088861,0.030590084,2.282,2.87,6.187,0.0,0.00033208625
171135169724416.0,01:05:0A0D,-0.064684032,0.026935296,-1.107623936,0.01179648,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015239934,0.706220041,0.808088364,0.030589149,2.282,2.87,6.187,0.0,2.0235286e-05
171135454937088.0,01:05:0A0D,-0.064487424,0.026935296,-1.108082688,0.01179648,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015237925,0.706220693,0.808087866,0.030588283,2.282,2.87,6.187,0.0,0.000285212672
171135788464747.0,01:05:0A0D,-0.064487424,0.026935296,-1.108082688,0.01179648,0.00589824,0.0131072,42.991616,-3.670016,-32.768,-0.015237925,0.706220693,0.808087866,0.030588283,2.283,2.868,6.186,0.0,0.000333527659
